year,Total Homeless
2008-01-01,-7474.0
2009-01-01,-9557.0
2010-01-01,6850.0
2011-01-01,-13289.0
2012-01-01,-2235.0
2013-01-01,-31189.0
2014-01-01,-13914.0
2015-01-01,-11742.0
2016-01-01,-14780.0
2017-01-01,1068.0
2018-01-01,1834.0
