,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters
15819,Homeless,Age,40 to 59,2220,5219
15823,Homeless,Age,40 to 59,514,1167
15827,Homeless,Age,40 to 59,13,45
15831,Homeless,Age,40 to 59,2571,6073
15835,Homeless,Age,40 to 59,1334,3123
15847,Homeless,Age,40 to 59,554,1436
15851,Homeless,Age,40 to 59,548,1229
15855,Homeless,Age,40 to 59,1891,4086
15859,Homeless,Age,40 to 59,144,311
15871,Homeless,Age,40 to 59,2985,6036
15879,Homeless,Age,40 to 59,496,1120
15887,Homeless,Age,40 to 59,2353,4623
15891,Homeless,Age,40 to 59,938,1950
15895,Homeless,Age,40 to 59,1388,2923
15902,Homeless,Age,40 to 59,458,1095
15911,Homeless,Age,40 to 59,1052,2789
15915,Homeless,Age,40 to 59,425,879
15919,Homeless,Age,40 to 59,173,369
15927,Homeless,Age,40 to 59,443,867
15931,Homeless,Age,40 to 59,1488,2690
15935,Homeless,Age,40 to 59,296,784
15943,Homeless,Age,40 to 59,106,236
15947,Homeless,Age,40 to 59,248,558
15951,Homeless,Age,40 to 59,894,2030
15955,Homeless,Age,40 to 59,375,961
15963,Homeless,Age,40 to 59,2727,6722
16070,Homeless,Age,40 to 59,43,110
16247,Homeless,Age,40 to 59,420,1156
16293,Homeless,Age,40 to 59,68,127
16765,Homeless,Age,40 to 59,435,860
16805,Homeless,Age,40 to 59,108,294
17025,Homeless,Age,40 to 59,4,10
17107,Homeless,Age,40 to 59,0,7
17303,Homeless,Age,40 to 59,37,96
17481,Homeless,Age,40 to 59,82,311
17700,Homeless,Age,40 to 59,5,7
17764,Homeless,Age,40 to 59,62,111
17908,Homeless,Age,40 to 59,483,1027
18120,Homeless,Age,40 to 59,6,17
18232,Homeless,Age,40 to 59,0,2
18392,Homeless,Age,40 to 59,2,4
18552,Homeless,Age,40 to 59,13,25
18666,Homeless,Age,40 to 59,31,101
18807,Homeless,Age,40 to 59,6,7
19166,Homeless,Age,40 to 59,71,181
19350,Homeless,Age,40 to 59,384,1105
19429,Homeless,Age,40 to 59,246,488
19603,Homeless,Age,40 to 59,109,213
19757,Homeless,Age,40 to 59,254,550
19931,Homeless,Age,40 to 59,3,9
20261,Homeless,Age,40 to 59,16,42
20459,Homeless,Age,40 to 59,215,395
20629,Homeless,Age,40 to 59,92,175
20807,Homeless,Age,40 to 59,644,1237
20961,Homeless,Age,40 to 59,360,897
21127,Homeless,Age,40 to 59,49,90
21245,Homeless,Age,40 to 59,397,876
21407,Homeless,Age,40 to 59,57,104
21537,Homeless,Age,40 to 59,384,896
21619,Homeless,Age,40 to 59,33,69
21677,Homeless,Age,40 to 59,256,601
22137,Homeless,Age,40 to 59,0,1
22177,Homeless,Age,40 to 59,239,446
22397,Homeless,Age,40 to 59,879,1925
22568,Homeless,Age,40 to 59,68,117
22800,Homeless,Age,40 to 59,248,612
22924,Homeless,Age,40 to 59,37,88
23048,Homeless,Age,40 to 59,13,34
23136,Homeless,Age,40 to 59,33,83
23266,Homeless,Age,40 to 59,829,2502
23380,Homeless,Age,40 to 59,14,30
23590,Homeless,Age,40 to 59,7,35
23742,Homeless,Age,40 to 59,5,11
23899,Homeless,Age,40 to 59,109,297
24038,Homeless,Age,40 to 59,247,674
24117,Homeless,Age,40 to 59,0,1
24241,Homeless,Age,40 to 59,130,304
24577,Homeless,Age,40 to 59,1,6
24766,Homeless,Age,40 to 59,52,96
24920,Homeless,Age,40 to 59,2,4
25129,Homeless,Age,40 to 59,29,64
25218,Homeless,Age,40 to 59,2,6
