,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters
842,Homeless,Age,40 to 59,864,1797
846,Homeless,Age,40 to 59,119,215
850,Homeless,Age,40 to 59,69,134
858,Homeless,Age,40 to 59,48,135
862,Homeless,Age,40 to 59,197,517
866,Homeless,Age,40 to 59,375,827
870,Homeless,Age,40 to 59,154,359
874,Homeless,Age,40 to 59,216,384
878,Homeless,Age,40 to 59,319,639
882,Homeless,Age,40 to 59,0,6
886,Homeless,Age,40 to 59,468,1156
894,Homeless,Age,40 to 59,108,246
910,Homeless,Age,40 to 59,264,500
914,Homeless,Age,40 to 59,77,161
922,Homeless,Age,40 to 59,72,132
926,Homeless,Age,40 to 59,249,600
930,Homeless,Age,40 to 59,108,227
934,Homeless,Age,40 to 59,233,472
938,Homeless,Age,40 to 59,218,503
942,Homeless,Age,40 to 59,208,380
954,Homeless,Age,40 to 59,151,287
958,Homeless,Age,40 to 59,681,1386
974,Homeless,Age,40 to 59,45,96
982,Homeless,Age,40 to 59,176,408
990,Homeless,Age,40 to 59,988,2717
994,Homeless,Age,40 to 59,85,190
998,Homeless,Age,40 to 59,37,91
1006,Homeless,Age,40 to 59,338,655
1010,Homeless,Age,40 to 59,354,704
1014,Homeless,Age,40 to 59,609,1319
1018,Homeless,Age,40 to 59,187,378
1022,Homeless,Age,40 to 59,1154,2283
1026,Homeless,Age,40 to 59,875,1786
1030,Homeless,Age,40 to 59,151,340
1034,Homeless,Age,40 to 59,706,1970
1036,Homeless,Age,40 to 59,298,627
1046,Homeless,Age,40 to 59,945,2578
1050,Homeless,Age,40 to 59,101,222
1078,Homeless,Age,40 to 59,158,281
1082,Homeless,Age,40 to 59,137,272
1086,Homeless,Age,40 to 59,127,272
1090,Homeless,Age,40 to 59,621,1170
1094,Homeless,Age,40 to 59,3,16
1102,Homeless,Age,40 to 59,241,488
1106,Homeless,Age,40 to 59,230,465
1110,Homeless,Age,40 to 59,2000,4826
1114,Homeless,Age,40 to 59,504,1001
1118,Homeless,Age,40 to 59,154,295
1122,Homeless,Age,40 to 59,157,300
1130,Homeless,Age,40 to 59,5,15
1138,Homeless,Age,40 to 59,333,901
1146,Homeless,Age,40 to 59,129,277
1154,Homeless,Age,40 to 59,1540,3758
1162,Homeless,Age,40 to 59,3,96
1166,Homeless,Age,40 to 59,336,702
1170,Homeless,Age,40 to 59,0,80
1178,Homeless,Age,40 to 59,811,1613
1182,Homeless,Age,40 to 59,6,55
1186,Homeless,Age,40 to 59,1318,2768
1194,Homeless,Age,40 to 59,102,242
1198,Homeless,Age,40 to 59,2139,4626
1202,Homeless,Age,40 to 59,454,1041
1204,Homeless,Age,40 to 59,27,71
1210,Homeless,Age,40 to 59,637,1474
1214,Homeless,Age,40 to 59,1039,2300
1218,Homeless,Age,40 to 59,257,546
1222,Homeless,Age,40 to 59,422,868
1226,Homeless,Age,40 to 59,2514,5019
1230,Homeless,Age,40 to 59,355,736
1234,Homeless,Age,40 to 59,117,289
1238,Homeless,Age,40 to 59,6,16
1242,Homeless,Age,40 to 59,308,573
1246,Homeless,Age,40 to 59,41,126
1254,Homeless,Age,40 to 59,459,1263
1258,Homeless,Age,40 to 59,9,16
1262,Homeless,Age,40 to 59,83,181
1266,Homeless,Age,40 to 59,5,11
1278,Homeless,Age,40 to 59,198,374
1282,Homeless,Age,40 to 59,3026,6589
1286,Homeless,Age,40 to 59,693,1609
1290,Homeless,Age,40 to 59,178,406
1294,Homeless,Age,40 to 59,518,1126
1302,Homeless,Age,40 to 59,337,771
1306,Homeless,Age,40 to 59,337,641
1310,Homeless,Age,40 to 59,233,414
1314,Homeless,Age,40 to 59,188,381
1318,Homeless,Age,40 to 59,290,630
1322,Homeless,Age,40 to 59,557,1098
1338,Homeless,Age,40 to 59,120,217
1354,Homeless,Age,40 to 59,149,330
1358,Homeless,Age,40 to 59,120,228
1366,Homeless,Age,40 to 59,171,430
1370,Homeless,Age,40 to 59,47,103
1374,Homeless,Age,40 to 59,48,101
1378,Homeless,Age,40 to 59,231,575
1382,Homeless,Age,40 to 59,20,38
1386,Homeless,Age,40 to 59,60,128
1398,Homeless,Age,40 to 59,265,512
1402,Homeless,Age,40 to 59,549,1103
1414,Homeless,Age,40 to 59,673,1298
1418,Homeless,Age,40 to 59,387,758
1422,Homeless,Age,40 to 59,233,543
1426,Homeless,Age,40 to 59,438,849
1430,Homeless,Age,40 to 59,1080,2198
1434,Homeless,Age,40 to 59,474,1131
1438,Homeless,Age,40 to 59,91,157
1440,Homeless,Age,40 to 59,464,1032
1446,Homeless,Age,40 to 59,0,37
1454,Homeless,Age,40 to 59,39,110
1466,Homeless,Age,40 to 59,551,1266
1474,Homeless,Age,40 to 59,105,225
1482,Homeless,Age,40 to 59,1,8
1486,Homeless,Age,40 to 59,373,884
1490,Homeless,Age,40 to 59,385,873
1502,Homeless,Age,40 to 59,126,336
1510,Homeless,Age,40 to 59,100,187
1518,Homeless,Age,40 to 59,166,318
1522,Homeless,Age,40 to 59,279,559
1526,Homeless,Age,40 to 59,28,62
1542,Homeless,Age,40 to 59,672,1389
1554,Homeless,Age,40 to 59,92,224
1560,Homeless,Age,40 to 59,390,986
1566,Homeless,Age,40 to 59,1725,3719
1570,Homeless,Age,40 to 59,224,383
1574,Homeless,Age,40 to 59,500,1003
1606,Homeless,Age,40 to 59,330,636
1618,Homeless,Age,40 to 59,835,2032
1622,Homeless,Age,40 to 59,104,167
1626,Homeless,Age,40 to 59,38,69
1638,Homeless,Age,40 to 59,185,397
1642,Homeless,Age,40 to 59,616,1297
1646,Homeless,Age,40 to 59,148,406
1654,Homeless,Age,40 to 59,26,61
1658,Homeless,Age,40 to 59,105,247
1662,Homeless,Age,40 to 59,295,637
1666,Homeless,Age,40 to 59,234,560
1674,Homeless,Age,40 to 59,452,960
1708,Homeless,Age,40 to 59,325,819
1814,Homeless,Age,40 to 59,271,818
1902,Homeless,Age,40 to 59,216,559
1960,Homeless,Age,40 to 59,92,257
2048,Homeless,Age,40 to 59,21,42
2088,Homeless,Age,40 to 59,110,236
2206,Homeless,Age,40 to 59,9,16
2558,Homeless,Age,40 to 59,9,19
2676,Homeless,Age,40 to 59,89,188
2758,Homeless,Age,40 to 59,15,37
2798,Homeless,Age,40 to 59,29,59
3012,Homeless,Age,40 to 59,0,1
3094,Homeless,Age,40 to 59,25,45
3152,Homeless,Age,40 to 59,845,2399
3264,Homeless,Age,40 to 59,12,20
3322,Homeless,Age,40 to 59,26,56
3434,Homeless,Age,40 to 59,43,93
3588,Homeless,Age,40 to 59,13,26
3782,Homeless,Age,40 to 59,0,1
3917,Homeless,Age,40 to 59,31,49
4021,Homeless,Age,40 to 59,0,4
4073,Homeless,Age,40 to 59,6,14
4125,Homeless,Age,40 to 59,58,108
4239,Homeless,Age,40 to 59,26,70
4317,Homeless,Age,40 to 59,2,5
4499,Homeless,Age,40 to 59,14,44
4569,Homeless,Age,40 to 59,13,34
4691,Homeless,Age,40 to 59,13,18
4785,Homeless,Age,40 to 59,83,175
4895,Homeless,Age,40 to 59,422,985
4969,Homeless,Age,40 to 59,30,104
5046,Homeless,Age,40 to 59,88,202
5145,Homeless,Age,40 to 59,41,91
5244,Homeless,Age,40 to 59,4,14
5318,Homeless,Age,40 to 59,40,151
5384,Homeless,Age,40 to 59,91,161
5533,Homeless,Age,40 to 59,199,399
5889,Homeless,Age,40 to 59,5,9
5943,Homeless,Age,40 to 59,2,9
6027,Homeless,Age,40 to 59,9,17
6181,Homeless,Age,40 to 59,4,4
6260,Homeless,Age,40 to 59,0,1
6359,Homeless,Age,40 to 59,18,69
6453,Homeless,Age,40 to 59,30,104
6592,Homeless,Age,40 to 59,20,39
6701,Homeless,Age,40 to 59,133,357
