,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters
0,Homeless,Age,0 to 18,0,288
4,Homeless,Age,0 to 18,5,846
8,Homeless,Age,0 to 18,58,63
12,Homeless,Age,0 to 18,1,52
16,Homeless,Age,0 to 18,29,4138
24,Homeless,Age,0 to 18,1,1045
28,Homeless,Age,0 to 18,0,265
32,Homeless,Age,0 to 18,1,337
44,Homeless,Age,0 to 18,26,671
48,Homeless,Age,0 to 18,1,225
52,Homeless,Age,0 to 18,0,106
64,Homeless,Age,0 to 18,1,451
68,Homeless,Age,0 to 18,6,710
72,Homeless,Age,0 to 18,0,95
80,Homeless,Age,0 to 18,0,13
84,Homeless,Age,0 to 18,3,680
88,Homeless,Age,0 to 18,12,1127
98,Homeless,Age,0 to 18,3,341
104,Homeless,Age,0 to 18,12,1075
108,Homeless,Age,0 to 18,0,475
112,Homeless,Age,0 to 18,8,592
116,Homeless,Age,0 to 18,0,41
120,Homeless,Age,0 to 18,0,812
124,Homeless,Age,0 to 18,0,34
132,Homeless,Age,0 to 18,0,79
140,Homeless,Age,0 to 18,2,89
144,Homeless,Age,0 to 18,1,243
152,Homeless,Age,0 to 18,2,152
156,Homeless,Age,0 to 18,29,4099
164,Homeless,Age,0 to 18,0,615
168,Homeless,Age,0 to 18,1,47
184,Homeless,Age,0 to 18,0,70
192,Homeless,Age,0 to 18,9,990
200,Homeless,Age,0 to 18,2,237
204,Homeless,Age,0 to 18,0,58
212,Homeless,Age,0 to 18,0,34
216,Homeless,Age,0 to 18,9,474
220,Homeless,Age,0 to 18,12,741
224,Homeless,Age,0 to 18,0,8
228,Homeless,Age,0 to 18,2,495
240,Homeless,Age,0 to 18,4,308
254,Homeless,Age,0 to 18,0,148
264,Homeless,Age,0 to 18,1,109
280,Homeless,Age,0 to 18,0,113
288,Homeless,Age,0 to 18,0,556
296,Homeless,Age,0 to 18,0,5
300,Homeless,Age,0 to 18,5,1294
304,Homeless,Age,0 to 18,0,503
308,Homeless,Age,0 to 18,3,548
312,Homeless,Age,0 to 18,0,1243
316,Homeless,Age,0 to 18,16,3094
324,Homeless,Age,0 to 18,5,1273
328,Homeless,Age,0 to 18,0,2
332,Homeless,Age,0 to 18,39,3633
336,Homeless,Age,0 to 18,25,29
340,Homeless,Age,0 to 18,0,16
344,Homeless,Age,0 to 18,3,254
348,Homeless,Age,0 to 18,0,90
356,Homeless,Age,0 to 18,0,801
360,Homeless,Age,0 to 18,3,220
364,Homeless,Age,0 to 18,28,951
368,Homeless,Age,0 to 18,0,375
372,Homeless,Age,0 to 18,1,264
376,Homeless,Age,0 to 18,0,158
380,Homeless,Age,0 to 18,0,286
384,Homeless,Age,0 to 18,0,211
392,Homeless,Age,0 to 18,0,180
400,Homeless,Age,0 to 18,5,893
408,Homeless,Age,0 to 18,0,182
412,Homeless,Age,0 to 18,2,1052
416,Homeless,Age,0 to 18,2,710
420,Homeless,Age,0 to 18,5,543
424,Homeless,Age,0 to 18,2,1398
428,Homeless,Age,0 to 18,13,2237
432,Homeless,Age,0 to 18,1,1178
436,Homeless,Age,0 to 18,2,283
440,Homeless,Age,0 to 18,14,1121
444,Homeless,Age,0 to 18,5,201
448,Homeless,Age,0 to 18,3,76
452,Homeless,Age,0 to 18,1,152
456,Homeless,Age,0 to 18,0,38
460,Homeless,Age,0 to 18,2,670
464,Homeless,Age,0 to 18,4,593
468,Homeless,Age,0 to 18,0,514
472,Homeless,Age,0 to 18,5,219
476,Homeless,Age,0 to 18,3,259
480,Homeless,Age,0 to 18,1,725
484,Homeless,Age,0 to 18,6,1724
488,Homeless,Age,0 to 18,3,824
492,Homeless,Age,0 to 18,1,376
496,Homeless,Age,0 to 18,0,317
504,Homeless,Age,0 to 18,1,128
508,Homeless,Age,0 to 18,0,6
512,Homeless,Age,0 to 18,6,1884
516,Homeless,Age,0 to 18,13,796
524,Homeless,Age,0 to 18,13,6601
528,Homeless,Age,0 to 18,0,18
532,Homeless,Age,0 to 18,1,771
536,Homeless,Age,0 to 18,6,691
540,Homeless,Age,0 to 18,3,412
544,Homeless,Age,0 to 18,1,1462
548,Homeless,Age,0 to 18,0,110
552,Homeless,Age,0 to 18,2,808
556,Homeless,Age,0 to 18,14,689
560,Homeless,Age,0 to 18,5,2014
564,Homeless,Age,0 to 18,1,739
568,Homeless,Age,0 to 18,15,1364
572,Homeless,Age,0 to 18,2,784
576,Homeless,Age,0 to 18,3,438
580,Homeless,Age,0 to 18,0,171
584,Homeless,Age,0 to 18,1,126
592,Homeless,Age,0 to 18,5,887
596,Homeless,Age,0 to 18,4,597
600,Homeless,Age,0 to 18,0,117
604,Homeless,Age,0 to 18,1,348
608,Homeless,Age,0 to 18,6,2159
612,Homeless,Age,0 to 18,2,355
618,Homeless,Age,0 to 18,1,465
620,Homeless,Age,0 to 18,2,542
632,Homeless,Age,0 to 18,14,1765
636,Homeless,Age,0 to 18,58,6416
640,Homeless,Age,0 to 18,1,1776
644,Homeless,Age,0 to 18,11,1440
648,Homeless,Age,0 to 18,0,283
652,Homeless,Age,0 to 18,1,69
660,Homeless,Age,0 to 18,0,97
668,Homeless,Age,0 to 18,0,93
672,Homeless,Age,0 to 18,40,79
676,Homeless,Age,0 to 18,9,254
680,Homeless,Age,0 to 18,0,308
692,Homeless,Age,0 to 18,1,107
696,Homeless,Age,0 to 18,6,8
700,Homeless,Age,0 to 18,0,52
708,Homeless,Age,0 to 18,4,670
716,Homeless,Age,0 to 18,1,5
736,Homeless,Age,0 to 18,1,548
752,Homeless,Age,0 to 18,2,818
758,Homeless,Age,0 to 18,0,52
760,Homeless,Age,0 to 18,5,689
764,Homeless,Age,0 to 18,12,1021
768,Homeless,Age,0 to 18,4,349
772,Homeless,Age,0 to 18,2,357
776,Homeless,Age,0 to 18,0,213
784,Homeless,Age,0 to 18,22,23
788,Homeless,Age,0 to 18,8,414
792,Homeless,Age,0 to 18,3,393
800,Homeless,Age,0 to 18,0,186
804,Homeless,Age,0 to 18,5,1150
808,Homeless,Age,0 to 18,6,1049
812,Homeless,Age,0 to 18,11,2280
816,Homeless,Age,0 to 18,1,1208
820,Homeless,Age,0 to 18,2,618
824,Homeless,Age,0 to 18,0,187
828,Homeless,Age,0 to 18,0,195
832,Homeless,Age,0 to 18,1,303
836,Homeless,Age,0 to 18,2,294
840,Homeless,Age,0 to 18,11,1797
844,Homeless,Age,0 to 18,0,215
848,Homeless,Age,0 to 18,0,134
856,Homeless,Age,0 to 18,0,135
860,Homeless,Age,0 to 18,3,517
864,Homeless,Age,0 to 18,4,827
868,Homeless,Age,0 to 18,5,359
872,Homeless,Age,0 to 18,0,384
876,Homeless,Age,0 to 18,0,639
880,Homeless,Age,0 to 18,0,6
884,Homeless,Age,0 to 18,11,1156
