,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters
892,Homeless,Age,0 to 18,1,246
908,Homeless,Age,0 to 18,4,500
912,Homeless,Age,0 to 18,5,161
920,Homeless,Age,0 to 18,1,132
924,Homeless,Age,0 to 18,4,600
928,Homeless,Age,0 to 18,0,227
932,Homeless,Age,0 to 18,1,472
936,Homeless,Age,0 to 18,2,503
940,Homeless,Age,0 to 18,1,380
952,Homeless,Age,0 to 18,0,287
956,Homeless,Age,0 to 18,13,1386
972,Homeless,Age,0 to 18,0,96
980,Homeless,Age,0 to 18,3,408
988,Homeless,Age,0 to 18,37,2717
992,Homeless,Age,0 to 18,1,190
996,Homeless,Age,0 to 18,0,91
1002,Homeless,Age,0 to 18,4,627
1004,Homeless,Age,0 to 18,0,655
1008,Homeless,Age,0 to 18,0,704
1012,Homeless,Age,0 to 18,9,1319
1016,Homeless,Age,0 to 18,1,378
1020,Homeless,Age,0 to 18,24,2283
1024,Homeless,Age,0 to 18,25,1786
1028,Homeless,Age,0 to 18,0,340
1032,Homeless,Age,0 to 18,23,1970
1044,Homeless,Age,0 to 18,22,2578
1048,Homeless,Age,0 to 18,1,222
1076,Homeless,Age,0 to 18,1,281
1080,Homeless,Age,0 to 18,0,272
1084,Homeless,Age,0 to 18,2,272
1088,Homeless,Age,0 to 18,7,1170
1092,Homeless,Age,0 to 18,0,16
1100,Homeless,Age,0 to 18,3,488
1104,Homeless,Age,0 to 18,0,465
1108,Homeless,Age,0 to 18,31,4826
1112,Homeless,Age,0 to 18,13,1001
1116,Homeless,Age,0 to 18,4,295
1120,Homeless,Age,0 to 18,3,300
1128,Homeless,Age,0 to 18,1,15
1136,Homeless,Age,0 to 18,17,901
1144,Homeless,Age,0 to 18,4,277
1152,Homeless,Age,0 to 18,71,3758
1160,Homeless,Age,0 to 18,35,96
1164,Homeless,Age,0 to 18,0,702
1168,Homeless,Age,0 to 18,76,80
1176,Homeless,Age,0 to 18,1,1613
1180,Homeless,Age,0 to 18,19,55
1184,Homeless,Age,0 to 18,21,2768
1190,Homeless,Age,0 to 18,0,71
1192,Homeless,Age,0 to 18,5,242
1196,Homeless,Age,0 to 18,29,4626
1200,Homeless,Age,0 to 18,9,1041
1208,Homeless,Age,0 to 18,16,1474
1212,Homeless,Age,0 to 18,9,2300
1216,Homeless,Age,0 to 18,2,546
1220,Homeless,Age,0 to 18,5,868
1224,Homeless,Age,0 to 18,22,5019
1228,Homeless,Age,0 to 18,7,736
1232,Homeless,Age,0 to 18,1,289
1236,Homeless,Age,0 to 18,0,16
1240,Homeless,Age,0 to 18,2,573
1244,Homeless,Age,0 to 18,3,126
1252,Homeless,Age,0 to 18,6,1263
1256,Homeless,Age,0 to 18,0,16
1260,Homeless,Age,0 to 18,1,181
1264,Homeless,Age,0 to 18,0,11
1276,Homeless,Age,0 to 18,1,374
1280,Homeless,Age,0 to 18,24,6589
1284,Homeless,Age,0 to 18,7,1609
1288,Homeless,Age,0 to 18,20,406
1292,Homeless,Age,0 to 18,26,1126
1300,Homeless,Age,0 to 18,10,771
1304,Homeless,Age,0 to 18,2,641
1308,Homeless,Age,0 to 18,1,414
1312,Homeless,Age,0 to 18,5,381
1316,Homeless,Age,0 to 18,7,630
1320,Homeless,Age,0 to 18,4,1098
1336,Homeless,Age,0 to 18,1,217
1352,Homeless,Age,0 to 18,4,330
1356,Homeless,Age,0 to 18,1,228
1364,Homeless,Age,0 to 18,0,430
1368,Homeless,Age,0 to 18,0,103
1372,Homeless,Age,0 to 18,0,101
1376,Homeless,Age,0 to 18,6,575
1380,Homeless,Age,0 to 18,0,38
1384,Homeless,Age,0 to 18,0,128
1396,Homeless,Age,0 to 18,10,512
1400,Homeless,Age,0 to 18,9,1103
1410,Homeless,Age,0 to 18,16,1032
1412,Homeless,Age,0 to 18,4,1298
1416,Homeless,Age,0 to 18,2,758
1420,Homeless,Age,0 to 18,7,543
1424,Homeless,Age,0 to 18,1,849
1428,Homeless,Age,0 to 18,28,2198
1432,Homeless,Age,0 to 18,1,1131
1436,Homeless,Age,0 to 18,0,157
1444,Homeless,Age,0 to 18,14,37
1452,Homeless,Age,0 to 18,1,110
1464,Homeless,Age,0 to 18,6,1266
1472,Homeless,Age,0 to 18,2,225
1480,Homeless,Age,0 to 18,0,8
1484,Homeless,Age,0 to 18,3,884
1488,Homeless,Age,0 to 18,15,873
1500,Homeless,Age,0 to 18,13,336
1508,Homeless,Age,0 to 18,1,187
1516,Homeless,Age,0 to 18,2,318
1520,Homeless,Age,0 to 18,1,559
1524,Homeless,Age,0 to 18,2,62
1540,Homeless,Age,0 to 18,4,1389
1552,Homeless,Age,0 to 18,1,224
1558,Homeless,Age,0 to 18,11,986
1564,Homeless,Age,0 to 18,23,3719
1568,Homeless,Age,0 to 18,1,383
1572,Homeless,Age,0 to 18,0,1003
1604,Homeless,Age,0 to 18,2,636
1616,Homeless,Age,0 to 18,16,2032
1620,Homeless,Age,0 to 18,1,167
1624,Homeless,Age,0 to 18,0,69
1636,Homeless,Age,0 to 18,1,397
1640,Homeless,Age,0 to 18,5,1297
1644,Homeless,Age,0 to 18,5,406
1652,Homeless,Age,0 to 18,1,61
1656,Homeless,Age,0 to 18,0,247
1660,Homeless,Age,0 to 18,4,637
1664,Homeless,Age,0 to 18,8,560
1672,Homeless,Age,0 to 18,4,960
1706,Homeless,Age,0 to 18,6,819
1794,Homeless,Age,0 to 18,13,818
1900,Homeless,Age,0 to 18,39,559
1958,Homeless,Age,0 to 18,3,257
2046,Homeless,Age,0 to 18,0,42
2086,Homeless,Age,0 to 18,0,236
2204,Homeless,Age,0 to 18,0,16
2460,Homeless,Age,0 to 18,1,19
2674,Homeless,Age,0 to 18,4,188
2756,Homeless,Age,0 to 18,0,37
2796,Homeless,Age,0 to 18,1,59
3010,Homeless,Age,0 to 18,0,1
3092,Homeless,Age,0 to 18,1,45
3144,Homeless,Age,0 to 18,15,2399
3262,Homeless,Age,0 to 18,0,20
3320,Homeless,Age,0 to 18,1,56
3414,Homeless,Age,0 to 18,1,93
3586,Homeless,Age,0 to 18,0,26
3768,Homeless,Age,0 to 18,0,1
3915,Homeless,Age,0 to 18,0,49
4019,Homeless,Age,0 to 18,4,4
4071,Homeless,Age,0 to 18,0,14
4123,Homeless,Age,0 to 18,0,108
4237,Homeless,Age,0 to 18,0,70
4315,Homeless,Age,0 to 18,0,5
4485,Homeless,Age,0 to 18,0,44
4565,Homeless,Age,0 to 18,0,34
4683,Homeless,Age,0 to 18,0,18
4777,Homeless,Age,0 to 18,1,175
4893,Homeless,Age,0 to 18,15,985
4965,Homeless,Age,0 to 18,1,104
5044,Homeless,Age,0 to 18,0,202
5143,Homeless,Age,0 to 18,0,91
5232,Homeless,Age,0 to 18,0,14
5291,Homeless,Age,0 to 18,0,151
5377,Homeless,Age,0 to 18,0,161
5526,Homeless,Age,0 to 18,2,399
5887,Homeless,Age,0 to 18,0,9
5941,Homeless,Age,0 to 18,0,9
6025,Homeless,Age,0 to 18,0,17
6179,Homeless,Age,0 to 18,0,4
6258,Homeless,Age,0 to 18,0,1
6357,Homeless,Age,0 to 18,0,69
6446,Homeless,Age,0 to 18,0,104
6590,Homeless,Age,0 to 18,1,39
6699,Homeless,Age,0 to 18,8,357
6783,Homeless,Age,0 to 18,1,239
6867,Homeless,Age,0 to 18,5,1017
6963,Homeless,Age,0 to 18,3,238
7017,Homeless,Age,0 to 18,0,25
7066,Homeless,Age,0 to 18,0,81
7180,Homeless,Age,0 to 18,0,88
7274,Homeless,Age,0 to 18,1,96
7328,Homeless,Age,0 to 18,0,11
7419,Homeless,Age,0 to 18,0,45
7541,Homeless,Age,0 to 18,2,1177
7783,Homeless,Age,0 to 18,0,62
7881,Homeless,Age,0 to 18,1,74
7919,Homeless,Age,0 to 18,4,476
8077,Homeless,Age,0 to 18,0,39
8151,Homeless,Age,0 to 18,0,178
8262,Homeless,Age,0 to 18,0,2
8352,Homeless,Age,0 to 18,0,10
8482,Homeless,Age,0 to 18,1,250
8568,Homeless,Age,0 to 18,0,5
8670,Homeless,Age,0 to 18,5,93
8728,Homeless,Age,0 to 18,13,211
8786,Homeless,Age,0 to 18,0,71
8832,Homeless,Age,0 to 18,6,556
8928,Homeless,Age,0 to 18,0,26
9022,Homeless,Age,0 to 18,0,251
9116,Homeless,Age,0 to 18,2,43
9209,Homeless,Age,0 to 18,0,16
9291,Homeless,Age,0 to 18,0,18
9331,Homeless,Age,0 to 18,0,4
9383,Homeless,Age,0 to 18,0,6
9543,Homeless,Age,0 to 18,0,10
9841,Homeless,Age,0 to 18,0,13
9959,Homeless,Age,0 to 18,0,6
10047,Homeless,Age,0 to 18,0,16
10087,Homeless,Age,0 to 18,0,5
10175,Homeless,Age,0 to 18,0,9
10341,Homeless,Age,0 to 18,0,26
10387,Homeless,Age,0 to 18,0,11
10475,Homeless,Age,0 to 18,0,97
10593,Homeless,Age,0 to 18,26,616
10627,Homeless,Age,0 to 18,5,127
10739,Homeless,Age,0 to 18,19,1243
10833,Homeless,Age,0 to 18,0,102
11023,Homeless,Age,0 to 18,7,571
11057,Homeless,Age,0 to 18,0,6
11157,Homeless,Age,0 to 18,0,11
11245,Homeless,Age,0 to 18,0,138
11309,Homeless,Age,0 to 18,9,500
11373,Homeless,Age,0 to 18,0,45
11431,Homeless,Age,0 to 18,0,26
11465,Homeless,Age,0 to 18,0,72
11517,Homeless,Age,0 to 18,1,30
11631,Homeless,Age,0 to 18,4,678
11709,Homeless,Age,0 to 18,0,192
11791,Homeless,Age,0 to 18,4,390
11980,Homeless,Age,0 to 18,1,41
12092,Homeless,Age,0 to 18,5,386
12168,Homeless,Age,0 to 18,0,4
12292,Homeless,Age,0 to 18,1,33
12370,Homeless,Age,0 to 18,0,3
12428,Homeless,Age,0 to 18,0,5
12504,Homeless,Age,0 to 18,0,30
12598,Homeless,Age,0 to 18,0,25
12697,Homeless,Age,0 to 18,0,11
12741,Homeless,Age,0 to 18,0,5
12815,Homeless,Age,0 to 18,1,20
12859,Homeless,Age,0 to 18,0,23
12998,Homeless,Age,0 to 18,0,245
13272,Homeless,Age,0 to 18,4,436
13386,Homeless,Age,0 to 18,0,108
13440,Homeless,Age,0 to 18,2,380
13484,Homeless,Age,0 to 18,0,33
13668,Homeless,Age,0 to 18,2,67
13742,Homeless,Age,0 to 18,0,48
13801,Homeless,Age,0 to 18,0,20
13895,Homeless,Age,0 to 18,3,358
13984,Homeless,Age,0 to 18,1,974
14063,Homeless,Age,0 to 18,1,12
14242,Homeless,Age,0 to 18,1,313
14348,Homeless,Age,0 to 18,2,271
14432,Homeless,Age,0 to 18,8,1462
14491,Homeless,Age,0 to 18,0,1
14550,Homeless,Age,0 to 18,1,2
14599,Homeless,Age,0 to 18,1,65
14648,Homeless,Age,0 to 18,5,698
14705,Homeless,Age,0 to 18,9,608
14709,Homeless,Age,0 to 18,17,3442
14713,Homeless,Age,0 to 18,38,91
14717,Homeless,Age,0 to 18,82,10415
14721,Homeless,Age,0 to 18,20,4474
14725,Homeless,Age,0 to 18,16,1471
14729,Homeless,Age,0 to 18,17,3385
14737,Homeless,Age,0 to 18,12,1740
14741,Homeless,Age,0 to 18,2,1012
14745,Homeless,Age,0 to 18,15,1827
14749,Homeless,Age,0 to 18,45,6394
14753,Homeless,Age,0 to 18,9,819
14761,Homeless,Age,0 to 18,1,96
14765,Homeless,Age,0 to 18,1,173
14769,Homeless,Age,0 to 18,104,5471
14781,Homeless,Age,0 to 18,16,3875
14785,Homeless,Age,0 to 18,23,2170
14789,Homeless,Age,0 to 18,5,904
14793,Homeless,Age,0 to 18,0,638
14797,Homeless,Age,0 to 18,33,2770
14801,Homeless,Age,0 to 18,0,75
14805,Homeless,Age,0 to 18,5,648
14810,Homeless,Age,0 to 18,7,206
14813,Homeless,Age,0 to 18,1,466
14817,Homeless,Age,0 to 18,8,770
14821,Homeless,Age,0 to 18,19,1380
14825,Homeless,Age,0 to 18,153,14315
14833,Homeless,Age,0 to 18,11,2800
14837,Homeless,Age,0 to 18,1,480
14853,Homeless,Age,0 to 18,36,4493
14857,Homeless,Age,0 to 18,9,1245
14861,Homeless,Age,0 to 18,4,345
14873,Homeless,Age,0 to 18,5,202
14877,Homeless,Age,0 to 18,72,2176
14881,Homeless,Age,0 to 18,42,2721
14885,Homeless,Age,0 to 18,0,24
14889,Homeless,Age,0 to 18,18,3616
14897,Homeless,Age,0 to 18,5,1749
14904,Homeless,Age,0 to 18,0,32
14909,Homeless,Age,0 to 18,11,1194
14925,Homeless,Age,0 to 18,4,518
14929,Homeless,Age,0 to 18,10,2244
14937,Homeless,Age,0 to 18,50,5861
14941,Homeless,Age,0 to 18,3,1064
14945,Homeless,Age,0 to 18,1,767
14949,Homeless,Age,0 to 18,115,10578
14953,Homeless,Age,0 to 18,32,3309
14957,Homeless,Age,0 to 18,4,20
14965,Homeless,Age,0 to 18,7,276
14969,Homeless,Age,0 to 18,4,391
14973,Homeless,Age,0 to 18,16,2245
14977,Homeless,Age,0 to 18,11,1085
14981,Homeless,Age,0 to 18,3,911
14985,Homeless,Age,0 to 18,1,1127
14989,Homeless,Age,0 to 18,4,915
14993,Homeless,Age,0 to 18,4,375
14997,Homeless,Age,0 to 18,3,1113
15005,Homeless,Age,0 to 18,2,189
15009,Homeless,Age,0 to 18,18,3012
15013,Homeless,Age,0 to 18,9,412
15017,Homeless,Age,0 to 18,36,6160
15021,Homeless,Age,0 to 18,31,3088
15025,Homeless,Age,0 to 18,5,1129
15029,Homeless,Age,0 to 18,8,1009
15033,Homeless,Age,0 to 18,32,8772
15037,Homeless,Age,0 to 18,30,2506
15041,Homeless,Age,0 to 18,14,1503
15045,Homeless,Age,0 to 18,17,4960
15049,Homeless,Age,0 to 18,9,1692
15053,Homeless,Age,0 to 18,16,4674
15057,Homeless,Age,0 to 18,0,879
15061,Homeless,Age,0 to 18,6,536
15065,Homeless,Age,0 to 18,6,1133
15069,Homeless,Age,0 to 18,9,1440
15073,Homeless,Age,0 to 18,87,2596
15077,Homeless,Age,0 to 18,7,1485
15081,Homeless,Age,0 to 18,5,1247
15085,Homeless,Age,0 to 18,4,211
15089,Homeless,Age,0 to 18,17,7844
15093,Homeless,Age,0 to 18,31,2390
15101,Homeless,Age,0 to 18,2,2488
15105,Homeless,Age,0 to 18,12,1840
15109,Homeless,Age,0 to 18,85,3141
15113,Homeless,Age,0 to 18,5,1161
15117,Homeless,Age,0 to 18,1,120
15121,Homeless,Age,0 to 18,11,1154
15125,Homeless,Age,0 to 18,19,5022
15129,Homeless,Age,0 to 18,4,1406
15133,Homeless,Age,0 to 18,18,3734
15137,Homeless,Age,0 to 18,161,2538
15141,Homeless,Age,0 to 18,8,4241
15145,Homeless,Age,0 to 18,8,1437
15149,Homeless,Age,0 to 18,3,1236
15153,Homeless,Age,0 to 18,12,517
15157,Homeless,Age,0 to 18,30,4829
15161,Homeless,Age,0 to 18,21,1583
15165,Homeless,Age,0 to 18,0,232
15169,Homeless,Age,0 to 18,3,1207
15173,Homeless,Age,0 to 18,48,1176
15177,Homeless,Age,0 to 18,12,820
15181,Homeless,Age,0 to 18,11,765
15185,Homeless,Age,0 to 18,99,7153
15189,Homeless,Age,0 to 18,138,19725
15193,Homeless,Age,0 to 18,175,13158
15197,Homeless,Age,0 to 18,52,7006
15201,Homeless,Age,0 to 18,2,674
15205,Homeless,Age,0 to 18,13,1157
15209,Homeless,Age,0 to 18,17,2646
15213,Homeless,Age,0 to 18,3,817
15217,Homeless,Age,0 to 18,13,1180
15221,Homeless,Age,0 to 18,5,7
15225,Homeless,Age,0 to 18,7,434
15229,Homeless,Age,0 to 18,2,393
15234,Homeless,Age,0 to 18,14,160
15257,Homeless,Age,0 to 18,17,2018
15269,Homeless,Age,0 to 18,5,1295
15276,Homeless,Age,0 to 18,0,19
15277,Homeless,Age,0 to 18,23,1825
15281,Homeless,Age,0 to 18,43,2888
15285,Homeless,Age,0 to 18,6,1675
15289,Homeless,Age,0 to 18,2,29
15293,Homeless,Age,0 to 18,9,680
15301,Homeless,Age,0 to 18,26,69
15305,Homeless,Age,0 to 18,6,873
15309,Homeless,Age,0 to 18,19,1264
15313,Homeless,Age,0 to 18,2,493
15317,Homeless,Age,0 to 18,5,961
15321,Homeless,Age,0 to 18,21,2024
15325,Homeless,Age,0 to 18,55,6868
15329,Homeless,Age,0 to 18,3,1296
15333,Homeless,Age,0 to 18,2,519
15337,Homeless,Age,0 to 18,2,938
15341,Homeless,Age,0 to 18,4,1462
15345,Homeless,Age,0 to 18,1,869
15349,Homeless,Age,0 to 18,7,2186
15353,Homeless,Age,0 to 18,6,1588
15357,Homeless,Age,0 to 18,7,642
15361,Homeless,Age,0 to 18,7,670
15365,Homeless,Age,0 to 18,2,1245
15369,Homeless,Age,0 to 18,18,4224
15373,Homeless,Age,0 to 18,22,2431
15377,Homeless,Age,0 to 18,1,482
15381,Homeless,Age,0 to 18,14,1683
15385,Homeless,Age,0 to 18,15,2133
15393,Homeless,Age,0 to 18,14,2278
15401,Homeless,Age,0 to 18,17,1574
15405,Homeless,Age,0 to 18,15,819
15421,Homeless,Age,0 to 18,9,1310
15425,Homeless,Age,0 to 18,0,897
15429,Homeless,Age,0 to 18,10,1159
15433,Homeless,Age,0 to 18,30,2234
15437,Homeless,Age,0 to 18,13,1095
15445,Homeless,Age,0 to 18,43,2388
15449,Homeless,Age,0 to 18,217,4417
15458,Homeless,Age,0 to 18,1,78
15461,Homeless,Age,0 to 18,14,1795
15469,Homeless,Age,0 to 18,8,971
15473,Homeless,Age,0 to 18,41,2626
15477,Homeless,Age,0 to 18,0,419
15481,Homeless,Age,0 to 18,2,205
15485,Homeless,Age,0 to 18,60,5562
15489,Homeless,Age,0 to 18,9,1891
15493,Homeless,Age,0 to 18,29,3143
15497,Homeless,Age,0 to 18,16,1360
15501,Homeless,Age,0 to 18,34,3339
15505,Homeless,Age,0 to 18,122,12049
15509,Homeless,Age,0 to 18,41,2762
15513,Homeless,Age,0 to 18,7,699
15525,Homeless,Age,0 to 18,10,1080
15529,Homeless,Age,0 to 18,2,572
15533,Homeless,Age,0 to 18,30,4386
15537,Homeless,Age,0 to 18,71,1918
15545,Homeless,Age,0 to 18,20,1551
15549,Homeless,Age,0 to 18,16,1616
15553,Homeless,Age,0 to 18,38,3354
15557,Homeless,Age,0 to 18,63,5197
15561,Homeless,Age,0 to 18,13,1216
15565,Homeless,Age,0 to 18,38,2148
15573,Homeless,Age,0 to 18,17,232
15577,Homeless,Age,0 to 18,8,544
15581,Homeless,Age,0 to 18,47,2968
15589,Homeless,Age,0 to 18,0,723
15593,Homeless,Age,0 to 18,137,149
15601,Homeless,Age,0 to 18,28,5312
15605,Homeless,Age,0 to 18,93,8918
15609,Homeless,Age,0 to 18,15,1839
15613,Homeless,Age,0 to 18,237,25367
15617,Homeless,Age,0 to 18,54,4163
15621,Homeless,Age,0 to 18,4,1130
15625,Homeless,Age,0 to 18,8,2223
15629,Homeless,Age,0 to 18,32,2855
15633,Homeless,Age,0 to 18,68,16452
15637,Homeless,Age,0 to 18,22,1837
15641,Homeless,Age,0 to 18,6,672
15645,Homeless,Age,0 to 18,8,1908
15649,Homeless,Age,0 to 18,9,1006
15656,Homeless,Age,0 to 18,0,196
15657,Homeless,Age,0 to 18,6,2773
15661,Homeless,Age,0 to 18,208,24191
15665,Homeless,Age,0 to 18,40,12515
15669,Homeless,Age,0 to 18,9,4082
15673,Homeless,Age,0 to 18,8,1453
15681,Homeless,Age,0 to 18,15,3645
15685,Homeless,Age,0 to 18,11,4527
15689,Homeless,Age,0 to 18,46,2492
15693,Homeless,Age,0 to 18,12,1673
15697,Homeless,Age,0 to 18,6,1382
15701,Homeless,Age,0 to 18,31,3375
15725,Homeless,Age,0 to 18,3,923
15729,Homeless,Age,0 to 18,7,448
15733,Homeless,Age,0 to 18,12,2557
15737,Homeless,Age,0 to 18,6,938
15741,Homeless,Age,0 to 18,5,943
15745,Homeless,Age,0 to 18,0,5
15749,Homeless,Age,0 to 18,16,3631
15753,Homeless,Age,0 to 18,0,315
15757,Homeless,Age,0 to 18,2,1031
15769,Homeless,Age,0 to 18,15,976
15773,Homeless,Age,0 to 18,21,4545
15778,Homeless,Age,0 to 18,1,121
15781,Homeless,Age,0 to 18,37,3693
15785,Homeless,Age,0 to 18,52,2470
15789,Homeless,Age,0 to 18,5,882
15793,Homeless,Age,0 to 18,16,1436
15797,Homeless,Age,0 to 18,5,615
15801,Homeless,Age,0 to 18,18,2463
15805,Homeless,Age,0 to 18,10,1485
15813,Homeless,Age,0 to 18,8,706
15817,Homeless,Age,0 to 18,39,5219
15821,Homeless,Age,0 to 18,12,1167
15825,Homeless,Age,0 to 18,2,45
15829,Homeless,Age,0 to 18,82,6073
15833,Homeless,Age,0 to 18,52,3123
15845,Homeless,Age,0 to 18,11,1436
15849,Homeless,Age,0 to 18,19,1229
15853,Homeless,Age,0 to 18,18,4086
15857,Homeless,Age,0 to 18,7,311
